# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
93100 1326.35
93200 1329.29
93300 1331.27
93400 1331.62
93500 1331.98
93600 1333.37
93700 1335.47
93800 1336.39
93900 1337.8
94000 1338.32
94100 1337.59
94200 1339.94
94300 1340.64
94400 1342.6
94500 1344.55
94600 1346.24
94700 1345.86
94800 1345.83
94900 1348.53
95000 1349.58
95100 1351.41
95200 1354.05
95300 1354.64
95400 1356.64
95500 1358.79
95600 1360.96
95700 1359.49
95800 1361.77
95900 1362.3
96000 1364.34
96100 1366
96200 1367.95
96300 1371.39
96400 1372.76
96500 1374.44
96600 1375.46
96700 1377.5
96800 1381.07
96900 1381.23
97000 1383.86
97100 1384.85
97200 1384.97
97300 1386.55
97400 1388.22
97500 1389.38
97600 1389.19
97700 1390.45
97800 1392.16
97900 1395.54
98000 1398.83
98100 1401.55
98200 1402.02
98300 1403.93
98400 1402.97
98500 1402.55
98600 1403.99
98700 1404.69
98800 1407.87
98900 1409.21
99000 1409.73
99100 1411.73
99200 1412.13
99300 1412.26
99400 1415.16
99500 1417.21
99600 1417.96
99700 1420.54
99800 1422.33
99900 1423.82
100000 1427.06
